address,bathrooms,bedrooms,price_from,distance_to_ucsb_miles
"6777 Del Playa Dr Unit 2, Isla Vista, CA 93117",2,5,13500,1
"6561 Del Playa Dr Unit 2,Goleta, CA 93117",1,3,10250,0.56
"6561 Del Playa Dr Unit 4,Goleta, CA 93117",2,3,9250,0.56
"6561 Del Playa Dr Unit 3,Goleta, CA 93117",2,3,10250,0.56
"6561 Del Playa Dr Unit 6, Goleta, CA 93117",2,3,10250,0.56
"6561 Del Playa Dr Unit 7,Goleta, CA 93117",2,3,10250,0.56
"6561 Del Playa Dr Unit 1,Goleta, CA 93117",2,2,7000,0.56
"6561 Del Playa Dr Unit 5,Goleta, CA 93117",1,0,7000,0.56
"6542 Sabado Tarde Rd, Goleta, CA 93117, United States",1,1,1500,0.45
"655 Walnut Park Ln, Santa Barbara, CA 93111, United States",1,1,1250,3.56
"3935 Foothill Rd Santa Barbara, CA 93110",1,1,3595,6.14
"6816 Shadowbrook Dr Unit A Goleta, CA 93117",1,1,1500,1.16
"6816 Shadowbrook Dr Unit B, Goleta, CA 93117",1,1,1500,1.16
"5560 Campana Ct, Santa Barbara, CA 93111, United States",1,1,2000,3.07
"529 High Grove Ave, Goleta, CA 93117, United States",1,1,1450,1.23
"Camino Campana, Santa Barbara, CA 93111, United States",2,3,6000,3.1
"1120 Vereda Del Ciervo, Goleta, CA 93117, United States",1,1,2400,4.82
"1128 Harbor Hills Ln, Santa Barbara, CA 93109, United States",1,1,1950,7.92
"781 Embarcadero del Norte Unit 356, Goleta, CA 93117, United States",1,1,2995,0.41
"781 Embarcadero del Norte Unit 4, Goleta, CA 93117, United States",1,1,2995,0.41
"781 Embarcadero del Norte Unit 7, Goleta, CA 93117, United States",1,1,2395,0.41
"781 Embarcadero del Norte Unit 8, Goleta, CA 93117, United States",1,1,2895,0.41
"781 Embarcadero del Norte Unit 910, Goleta, CA 93117, United States",1,1,2895,0.41
"781 Embarcadero del Norte Unit 12, Goleta, CA 93117, United States",1,1,3095,0.41
"781 Embarcadero del Norte Unit 11, Goleta, CA 93117, United States",1,1,2897,0.41
"781 Embarcadero del Norte Unit 15, Goleta, CA 93117, United States",1,1,2795,0.41
"781 Embarcadero del Norte Unit 16, Goleta, CA 93117, United States",1,1,2795,0.41
"781 Embarcadero del Norte Unit 20, Goleta, CA 93117, United States",1,1,2795,0.41
